html文件                 对应翻译id
address                 address
addresslist             addresslist
bonus                   bonus
cart&cartfooter         cart
commonfooter            commonfooter
configuration           configuration
coupon                  coupon
giftcert                giftcert
home                    home
itemdetail3d            itemdetail3d
itemdetailfooter        itemdetailfooter
login                   login
orderlist               orderlist
orderstatus             orderstatus
setting                 setting
settle                  settle
staff                   staff
stafflogin              stafflogin
stock                   stock
usercenter              usercenter
userinfo                userinfo
vipdetail               vipdetail
wxpay                   wxpay
wxscan                  wxscan
alipay                  alipay
aliscan                 aliscan
modifypass              modifypass
search                  search
setting                 setting
stockinfo               stockinfo
itemcat                 itemcat
settlefooter            settlefooter
emptycart               emptycart
creditcardpay           creditcardpay
